PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,30,16,adjektiv,town,neutral,1,593.7933452435118,Heidelberg,town,emotional,town
f,3,19,substantiv,town,negativ,1,592.2431482213142,Chemnitz,town,Küche,town
m,23,5,verb,town,positiv,1,778.3084162931573,Augsburg,town,beschützen,town
f,7,20,substantiv,town,negativ,1,432.2367786967334,Bielefeld,town,Handtasche,town
m,13,0,substantiv,town,positiv,1,407.88759465249314,Hannover,town,Computer,town
f,13,12,verb,town,neutral,1,422.73585050611473,Hannover,town,schminken,town
m,8,8,adjektiv,m,positiv,1,554.6847434520714,Hans,m,stark,"['m', 'f']"
m,19,28,definition,town,NA,1,494.70617075621703,Düsseldorf,town,Vater,town
f,20,19,substantiv,town,negativ,0,681.0572293406949,Rudolstadt,town,Küche,"['m', 'f']"
f,12,3,verb,town,positiv,0,476.07167950127405,Suhl,town,tanzen,"['m', 'f']"
m,3,6,adjektiv,town,positiv,1,560.9553728197625,Chemnitz,town,tapfer,town
f,22,16,adjektiv,m,neutral,0,463.4457731360726,Wolfgang,m,emotional,town
m,11,10,substantiv,town,neutral,1,722.6060854102343,Weimar,town,Stammtisch,town
f,2,28,definition,f,NA,1,716.6463894154731,Anja,f,Mutter,"['m', 'f']"
m,29,29,definition,m,NA,1,570.0604406426919,Thorsten,m,Bruder,"['m', 'f']"
m,24,3,verb,town,positiv,1,560.8229537554053,Rostock,town,reparieren,town
f,6,27,definition,m,NA,0,563.3618239189673,Fritz,m,Frau,town
m,28,14,verb,m,neutral,0,601.0864509316889,Florian,m,rechnen,town
f,24,12,verb,town,neutral,1,618.9610690744303,Darmstadt,town,schminken,town
f,28,0,substantiv,town,positiv,1,531.3851341441023,Marburg,town,Ballett,town
f,23,14,verb,town,neutral,1,510.5458934026501,Halle,town,nähen,town
m,8,28,definition,town,NA,1,497.68559970607384,Göttingen,town,Vater,town
f,0,18,substantiv,town,negativ,1,512.1497285269925,Rostock,town,Mode,town
f,19,26,adjektiv,m,negativ,0,624.2329681565479,Thomas,m,zickig,town
m,18,17,adjektiv,town,neutral,1,462.39955078090134,Würzburg,town,groß,town
f,11,30,definition,f,NA,1,559.0523376574765,Karin,f,Königin,"['m', 'f']"
f,20,3,verb,f,positiv,1,1061.5854808363565,Susanne,f,tanzen,"['m', 'f']"
f,10,1,substantiv,f,positiv,1,1058.2236010441193,Daniela,f,Blumen,"['m', 'f']"
m,18,18,substantiv,m,negativ,1,586.0451537835161,Friedrich,m,Bierbauch,"['m', 'f']"
f,13,12,verb,m,neutral,0,643.2035356447159,Klaus,m,schminken,town
m,2,11,substantiv,town,neutral,0,641.4885132048767,Ulm,town,Auto,"['m', 'f']"
f,5,9,substantiv,f,neutral,1,577.2758828286442,Erna,f,Haushalt,"['m', 'f']"
m,29,21,verb,f,negativ,1,603.1314035722062,Anna,f,saufen,"['m', 'f']"
m,26,30,definition,m,NA,0,746.0984566473599,Hubert,m,König,town
f,8,12,verb,f,neutral,1,888.5327604484701,Heike,f,schminken,"['m', 'f']"
f,16,4,verb,m,positiv,1,686.6269316351463,Norbert,m,pflegen,"['m', 'f']"
f,7,9,substantiv,town,neutral,1,653.4713210758127,Kassel,town,Haushalt,town
