Age;Age.Group;Sex;Condition;Gains.e.c;Losses.e.c;Accuracy.PM.Task;Accuracy.OngoingTask;RT.Mdn.OngoingTask;RT.Mdn.PM.Task;Monetary.Motivation;PayoffRetained;Importance.OngoingTask;Importance.PMTask;N.Nontargets;N.Targets;LossAversion;Education;Income;LifeSatisfaction;Health;CognitiveSpeed;Vocabulary;SocialValueOrientation;GainOrientation;MaintenanceOrientation;LossOrientation;PositiveAffect;Negative.Affect;PRMQ.Prospective;PRMQ.Retrospective;ZAge;ZAccuracy.PM.Task;ZAccuracy.OngoingTask;ZRT.Mdn.OngoingTask;ZMonetary.Motivation;ZImportance.OngoingTask;ZImportance.PMTask;ZCognitiveSpeed;ZGainOrientation;ZMaintenanceOrientation;ZLossOrientation;ZAge.x.Gains;ZAge.x.Losses
23;Younger;1;Gains;1;0;,916666666666667;,99009900990099;1383;2598;100;100;90;100;303;12;4;4;1;6;7;38;32;7,81529354676688;6,16666666666667;6,33333333333333;3,16666666666667;2,4;1;4,625;3,875;-1,32042151932298;1,47422010818677;,913739381478567;-,0659560866721515;1,22707380509365;,28043351442033;,890133842007355;,54343501687612;-,240203584444629;,23464187341673;-1,23602155158955;-1,32042151932298;0
24;Younger;2;Gains;1;0;,833333333333333;,961414790996785;976;1117;80;0;95;95;311;12;1;4;1;7;6;63;27;37,4824114277185;4,5;5,16666666666667;5,16666666666667;3,6;1,1;4,25;4;-1,27298122521557;1,20177696704342;,0733032963427704;-,978849135907312;,70896296658798;,502803702066407;,693260303392408;3,03118433116151;-1,5829565409674;-,5008028044566;-,213498935184559;-1,27298122521557;0
22;Younger;2;Gains;1;0;,75;,970588235294118;1525,5;1286;95;80;95;90;306;12;5;4;9;5;5;36;30;10,3851769867767;7,33333333333333;5,83333333333333;6;3,5;1,7;3,75;3,75;-1,36786181343039;,929333825900077;,342081527265123;,253668629583402;1,09754609546723;,502803702066407;,496386764777462;,344415071733289;,699723485121313;-,0805487028146973;,212552154984187;-1,36786181343039;0
24;Younger;1;Gains;1;0;,833333333333333;,99;818,5;983,5;90;50;100;90;300;12;1;4;1;5;5;35;35;45;6,16666666666667;5,16666666666667;4,16666666666667;2,5;1,2;4;4,5;-1,27298122521557;1,20177696704342;,910838431173603;-1,33211855913713;,968018385840813;,725173889712485;,496386764777462;,244905099161874;-,240203584444629;-,5008028044566;-,724760243387055;-1,27298122521557;0
31;Younger;2;Gains;1;0;1;,986928104575163;1082,5;1154,5;100;80;90;100;306;12;5;6;4;7;6;50;32;45;6,83333333333333;6,5;2;4;1,1;3,25;3,625;-,940899166463682;1,74666324933011;,82083312988169;-,739971716390003;1,22707380509365;,28043351442033;,890133842007355;1,73755468773311;,29689759816448;,339705398827206;-1,8324930778258;-,940899166463682;0
26;Younger;2;Gains;1;0;,25;,93485342019544;720;692;75;50;100;100;307;12;3;6;9;7;6;43;30;45;6;5,33333333333333;7;4;1,1;3,875;4,25;-1,17810063700074;-,705325020959994;-,704934192594037;-1,55305213493483;,579435256961563;,725173889712485;,890133842007355;1,0409848797332;-,374478880096907;-,395739279046125;,723813463186683;-1,17810063700074;0
29;Younger;2;Gains;1;0;,666666666666667;,943708609271523;1183;935,5;0;0;50;70;302;12;0;2;2;7;5;37;29;37,4824114277185;6,16666666666667;5,5;3,83333333333333;3,7;1,7;3,125;3,875;-1,03577975467851;,656890684756732;-,445480711741199;-,514552179662402;-1,36348038743468;-1,49852798674829;-,291107389682324;,443925044304704;-,240203584444629;-,290675753635649;-,895180679454554;-1,03577975467851;0
30;Younger;2;Gains;1;0;,333333333333333;,973509933774834;1109,5;1100,5;7; ;9;7;302;12;3;6;5;5;6;32;34;37,0136158549098;7,16666666666667;5;4,66666666666667;2,2;1,2;3,125;3,125;-,988339460571094;-,432881879816649;,427686118461462;-,679411243836319;-1,1821415939577;-3,32196352544612;-2,77171397623065;-,0536248185523727;,565448189469036;-,605866329867076;-,469129589285807;-,988339460571094;0
33;Younger;1;Gains;1;0;,666666666666667;,966996699669967;1047;1270,5;90;100;95;100;303;12;6;4;1;5;6;46;28;-7,81529354676688;5,33333333333333;4,16666666666667;2;2,6;1,4;3,625;4,25;-,846018578248857;,656890684756732;,236850976987028;-,819597522895773;,968018385840813;,502803702066407;,890133842007355;1,33951479744744;-,911580062706017;-1,13118395691946;-1,8324930778258;-,846018578248857;0
32;Younger;1;Gains;1;0;,916666666666667;,977198697068404;1490;1441,5;100;100;90;100;307;12;4;7;2;5;6;39;33;12,5533665501306;6;2,33333333333333;3,16666666666667;2,6;1,1;4,25;4;-,893458872356269;1,47422010818677;,535765400375799;,174042823077633;1,22707380509365;,28043351442033;,890133842007355;,642944989447535;-,374478880096907;-2,28688273643469;-1,23602155158955;-,893458872356269;0
